slug,label,figma_key,figma_path,type,default_value,scss_target,theme_json_target
VARIOUS,,,,,,,
default-transition-duration,Default transition duration,,,string,0.2s,default-transition-duration,
default-transition-easing,Default transition easing,,,string,ease-out,default-transition-easing,
default-input-field-height,Default input field height,,,rem,3.2rem,default-input-field-height,
default-border-radius,Default border radius,,borderRadius,px,999px,default-border-radius,
default-border-width,Default border width,,borderWidth,px,2px,default-border-width,
disabled-opacity,Disabled opacity,,,number,0.4,disabled-opacity,
container-width,Container width,,containerWidth,px,1220px,,custom.layout.contentSize
container-padding-sides,Container side padding,,,string,var(--wp--preset--spacing--40),container-padding-sides,
SPACING SCALE,,,,,,,
spacing-xs,Spacing XS,,,rem,0.25rem,,custom.spacing.20
spacing-sm,Spacing SM,,,rem,0.5rem,,custom.spacing.30
spacing-md,Spacing MD,,,rem,1rem,,custom.spacing.40
spacing-lg,Spacing LG,,,rem,1.5rem,,custom.spacing.50
spacing-xl,Spacing XL,,,rem,2rem,,custom.spacing.60
spacing-2xl,Spacing 2XL,,,rem,3rem,,custom.spacing.70
spacing-3xl,Spacing 3XL,,,rem,4rem,,custom.spacing.80
COLORS – MONO,,,,,,,
color-black,Black,,,hex,#000000,,palette:black
color-dark,Dark,,colors.mono.0.hex,hex,#211d1e,,palette:dark
color-dark-grey,Dark Grey,,colors.mono.1.hex,hex,#4a4a4a,,palette:dark-grey
color-grey,Grey,,colors.mono.2.hex,hex,#7f7f7f,,palette:grey
color-grey-light,Grey Light,,colors.mono.3.hex,hex,#fbfbfb,,palette:grey-light
color-white,White,,,hex,#ffffff,,palette:white
COLORS – BRAND (Figma name used when set on color style),,,,,,,
brand-1,Brand Color 1,,colors.colored.0.hex,hex,,,palette:brand-1
brand-2,Brand Color 2,,colors.colored.1.hex,hex,,,palette:brand-2
brand-3,Brand Color 3,,colors.colored.2.hex,hex,,,palette:brand-3
brand-4,Brand Color 4,,colors.colored.3.hex,hex,,,palette:brand-4
brand-5,Brand Color 5,,colors.colored.4.hex,hex,,,palette:brand-5
brand-6,Brand Color 6,,colors.colored.5.hex,hex,,,palette:brand-6
brand-7,Brand Color 7,,colors.colored.6.hex,hex,,,palette:brand-7
brand-8,Brand Color 8,,colors.colored.7.hex,hex,,,palette:brand-8
brand-9,Brand Color 9,,colors.colored.8.hex,hex,,,palette:brand-9
brand-10,Brand Color 10,,colors.colored.9.hex,hex,,,palette:brand-10
COLORS – THEME (SCSS must reference $color-*, not raw hex; color-background and color-body: scss-color-match to nearest palette),,,,,,,
color-primary,Primary color,,,scss-ref,$color-brand-1,color-primary,
color-secondary,Secondary color,,,scss-ref,$color-brand-2,color-secondary,
color-background,Background color,,bodyBackgroundColor,scss-color-match,$color-black,color-background,
color-body,Body text color,,body.color,scss-color-match,$color-white,color-body,
TYPOGRAPHY,,,,,,,
font-family-primary,Font family (primary),,body.fontFamilyPrimary,font-family,Inter,body-font-family,
font-family-secondary,Font family (secondary),,body.fontFamilySecondary,font-family,Georgia,font-family-secondary,
body-font-weight,Body font weight,,body.fontWeight,number,400,body-font-weight,
body-line-height,Body line height,,body.bodyLineHeightRatio,number,1.6,body-line-height,
body-letter-spacing,Body letter spacing,,body.letterSpacing,string,0,body-letter-spacing,
body-size-desktop-small,Body size desktop small,,paragraphSizes.desktop.small.fontSize,px,16,,custom.font-size.desktop.bodySmall
body-size-desktop-medium,Body size desktop medium,,paragraphSizes.desktop.medium.fontSize,px,18,,custom.font-size.desktop.bodyMedium
body-size-desktop-large,Body size desktop large,,paragraphSizes.desktop.large.fontSize,px,20,,custom.font-size.desktop.bodyLarge
body-size-mobile-small,Body size mobile small,,paragraphSizes.mobile.small.fontSize,px,12,,custom.font-size.mobile.bodySmall
body-size-mobile-medium,Body size mobile medium,,paragraphSizes.mobile.medium.fontSize,px,14,,custom.font-size.mobile.bodyMedium
body-size-mobile-large,Body size mobile large,,paragraphSizes.mobile.large.fontSize,px,16,,custom.font-size.mobile.bodyLarge
TYPOGRAPHY – HEADINGS (Font family),,,,,,,
